system,n,spearman_rho,spearman_p,ols_slope_per_hour
duckdb,6078,0.10877409086955736,1.836552797776208e-17,0.0016669195373117827
postgis,362470,-0.017954683099931038,3.068668543625406e-27,-0.0019325406053272974
local,26121,0.040685677736335364,4.767380800393226e-11,0.0008506385250927242
sedona,165,-0.15238670235947901,0.05070252843067749,-0.0018709308936992308
ALL,394834,-0.010784856452261779,1.2275771364704402e-11,
