iteration,elapsed_time
1,1.6189036819999956
2,1.627851247999999
3,1.715141881000001
4,2.034374761999999
5,1.9294777610000011
6,1.9102669880000036
7,1.9039414339999965
8,1.8789587529999991
9,1.8433502859999962
10,1.8905749140000054
11,1.6548060309999997
12,1.4954031470000047
13,1.6508680370000022
14,1.9131247400000007
15,1.9357916120000027
16,1.9860733680000067
17,1.856370744000003
18,1.9260147160000116
19,1.9946099929999974
20,1.883933875000011
21,1.7914123320000073
22,2.100166951999995
23,1.8913914079999898
24,1.9752693289999996
25,2.1457550070000053
26,2.0133555529999967
27,1.8697130979999912
28,2.2836490440000006
29,1.579579129999999
30,1.7083689090000007
31,1.962910917000002
32,1.9550952929999994
