system,Time,Cost,Rank
duckdb,398.4544213823475,1.9952617525095386,2.375
postgis,1.6577158793635025,1.6994074627702698,1.25
local,226.10346295466084,2.7638043174279727,2.3333333333333335
sedona,1.0094352656541856,1.9248339668531322,1.3333333333333333
