workload_type,configuration,dataset_size,cost_usd,min_time_s,marker
point-in-polygon-lookup,duckdb,small,0.21096870073617333,1.327399279000005,config
point-in-polygon-lookup,duckdb,large,1.7202124904250518,29.919311816999993,config
point-in-polygon-lookup,postgis,small,0.39499973997384497,0.0016057990000000189,config
point-in-polygon-lookup,postgis,large,0.39502054967026123,0.0014888819999967495,config
point-in-polygon-lookup,local,small,0.1645709452056,0.3426641980000227,config
knn-search,duckdb,small,0.17361246909422742,0.7460472449999997,config
knn-search,duckdb,large,1.1461144419730767,15.736374125999987,config
knn-search,postgis,small,0.3970295149589439,0.0016826290000011568,config
knn-search,postgis,large,0.39505736620684345,0.001617357999997182,config
knn-search,local,small,3.3274160283275998,47.816030732,config
bbox-filtering,duckdb,small,0.18465878097522082,1.05492897500001,config
bbox-filtering,duckdb,large,1.4209538043013459,22.826123492000022,config
bbox-filtering,postgis,small,0.3961026950729686,0.027331008000000878,config
bbox-filtering,postgis,large,0.3965541106736082,0.03893694599999975,config
bbox-filtering,local,small,0.2034068837328,0.05209722500001135,config
national-scale-spatial-join,duckdb,small,0.1698668357856734,144.23182930599998,config
national-scale-spatial-join,duckdb,medium,1.4837070789108013,1386.335994906,config
national-scale-spatial-join,postgis,small,0.053279807309559245,13.365155059000003,config
national-scale-spatial-join,postgis,medium,6.456906622893362,2177.3248283970006,config
national-scale-spatial-join,databricks-broadcast-16-nodes,small,1.5875219517944825,13.747047119000058,sedona-anchor
