configuration,n,p50,p95,p99
duckdb,2041,0.8044192090000024,1.238303473000002,1.8954663491999886
postgis,76103,0.004150399000003802,0.007271438299999742,0.011144713620004862
local,445,60.80997500500007,112.85071755259987,127.14501324764004
