configuration,n,p50,p95,p99
duckdb,1571,1.1392221129999989,1.5206101724999996,1.7025657543999946
postgis,30785,0.03411842300000245,0.04216831519999857,0.12213246331999952
local,21185,0.058758283000003075,0.09954019720001382,0.1590582532799948
