n,rel_ci_halfwidth
5,0.029723262745660266
6,0.029723262745660266
7,0.029723262745660266
8,0.029723262745660266
9,0.06932055516814904
10,0.06932055516814904
11,0.029723262745660266
12,0.053297628910230765
13,0.05198092912666481
14,0.05198092912666481
15,0.05198092912666481
16,0.05198092912666481
17,0.05198092912666481
18,0.05198092912666481
19,0.05198092912666481
20,0.05198092912666481
21,0.05198092912666481
22,0.05198092912666481
23,0.05198092912666481
24,0.05198092912666481
25,0.05198092912666481
26,0.05198092912666481
27,0.05198092912666481
28,0.05198092912666481
29,0.044285081673695936
30,0.044285081673695936
31,0.044285081673695936
32,0.044285081673695936
