system,dimension,rank,geomean_norm
duckdb,Time,4.0,398.4544213823475
duckdb,Cost,3.0,1.9952617525095386
postgis,Time,2.0,1.6577158793635025
postgis,Cost,1.0,1.6994074627702698
local,Time,3.0,226.10346295466084
local,Cost,4.0,2.7638043174279727
sedona,Time,1.0,1.0094352656541856
sedona,Cost,2.0,1.9248339668531322
