configuration,n,p50,p95,p99
duckdb,1282,1.5252166489999972,2.6067555412999965,3.3482013751900044
postgis,79186,0.003722724499997554,0.006832855250003433,0.01054061279999946
local,4491,0.37406184499999995,0.5236371610000106,0.6133334596000007
